newname,Unnamed: 0,0,1,2,3,4
盛霖腾达经贸发展,19,青岛盛霖腾达经贸发展有限公司,山东省,青岛市,市北区,合肥路街道沾化路40号
腾诚网络科技,20,青岛腾诚网络科技有限公司,山东省,青岛市,城阳区,南流路283号
腾吉龙机械设备,21,青岛腾吉龙机械设备有限公司,山东省,青岛市,黄岛区,昆仑山南路95-2号
腾盛达碳素机械,22,青岛腾盛达碳素机械有限公司,山东省,青岛市,莱西市,望城街道办事处长沙路3号
腾润翔检测评价,23,青岛腾润翔检测评价有限公司,山东省,青岛市,城阳区,[]
腾润达环保设备,24,青岛腾润达环保设备有限公司,山东省,青岛市,胶州市,香江迎宾大道5号
多鲜乐,0,多鲜乐(青岛)餐饮管理有限公司,山东省,青岛市,市南区,东海西路17号海信大厦1217室
书香人家,0,书香·人家,山东省,青岛市,黄岛区,渭河路917号科技大学内学者餐厅3层
海韵香都,1,海韵香都,山东省,青岛市,崂山区,"海龙路9号,瑞士花园南门对面"
铭家麦岛店,2,铭家(麦岛店),山东省,青岛市,崂山区,麦岛路1-1号
船家渔延安三路店,3,船家渔(延安三路店),山东省,青岛市,市北区,延安三路67号(延安三路金狮宾馆)
俏江南中心广场店,4,俏江南(青岛中心广场店),山东省,青岛市,市南区,香港中路8号青岛中心购物广场3层
双合园饺子大尧三路店,5,双合园饺子(大尧三路店),山东省,青岛市,市南区,大尧三路19号甲
海派美食锦尚店,6,海派美食(锦尚店),山东省,青岛市,市北区,重庆南路118-1号
LaModa海信广场店,7,La Moda(海信广场店),山东省,青岛市,市南区,珠海路街道澳门路117号海信广场二期五楼
全聚德烤鸭店店,8,全聚德烤鸭店(青岛店),山东省,青岛市,市南区,香港中路12号丰合广场A座1-2层
乔家小院万年泉路店,9,乔家小院(万年泉路店),山东省,青岛市,李沧区,万年泉路(近百通花园)
老船夫海鲜城东海东路店,10,老船夫海鲜城(东海东路店),山东省,青岛市,崂山区,东海东路60号
爱购美食广场,11,爱购美食广场,山东省,青岛市,市南区,古田路18号(近麦凯乐)
海蛋蛋烤盘料理,12,海蛋蛋烤盘料理,山东省,青岛市,崂山区,同安路872-11号世纪花园沿同安路商业街X1层1户
佰蒸鲜大锅海鲜同安路店,13,佰蒸鲜大锅海鲜(同安路店),山东省,青岛市,崂山区,同安路872号易乐广场F1层
淡颐健康餐厅水悦城店,14,淡颐健康餐厅(水悦城店),山东省,青岛市,城阳区,"正阳路177号水悦城(招商银行北后侧20号楼,伽蓝幼托东10米)"
酸菜鱼米饭,15,酸菜鱼米饭,山东省,青岛市,胶州市,锦州路77号阜安北街小区物业管理楼东四号
绝味鸭脖伟东店,16,绝味鸭脖(伟东店),山东省,青岛市,李沧区,金水路819-52号
蔺氏旭光辣子鸡菜馆菜市二路,17,蔺氏旭光辣子鸡菜馆(菜市二路),山东省,青岛市,市北区,北区延安二路18号红屋牛排斜对面(近南山市场)
新尚美食清真兰州拉面,18,新尚美食(清真兰州拉面),山东省,青岛市,李沧区,九水东路酒店管理学院(西餐厅1楼)
星货郎,0,星货郎,山东省,青岛市,市北区,重庆南路67号
大桓九置业,0,青岛大桓九置业有限公司,山东省,青岛市,胶州市,中云街道寺门首路517号郭家庄桥路北西湖郡小区
九远医疗科技,1,青岛九远医疗科技有限公司,山东省,青岛市,城阳区,红岛街道高新区火炬支路10号
玖琦精细化工,2,青岛玖琦精细化工有限责任公司,山东省,青岛市,李沧区,楼山街道滨海路9号
康道健身,3,青岛康道健身有限公司,山东省,青岛市,市北区,延安二路129号利群百惠商厦九楼
鸿兴实业,4,青岛鸿兴实业有限公司,山东省,青岛市,即墨区,环秀街道长江二路金盛江家装城二期九楼
伟创工控传动设备,5,青岛伟创工控传动设备有限公司,山东省,青岛市,胶州市,中云街道大桓九商贸城9号楼
朝阳建筑保温节能材料,6,青岛朝阳建筑保温节能材料有限公司,山东省,青岛市,城阳区,上马街道朝阳社区九跃路1号
国基商砼,7,青岛国基商砼有限公司,山东省,青岛市,胶州市,三里河街道办事处九城路与正阳路交汇处南侧500米路西
兰硕机械设备,8,青岛兰硕机械设备有限公司,山东省,青岛市,胶州市,中云街道大桓九商贸城4号楼
百融代理记帐,9,青岛百融代理记帐有限公司,山东省,青岛市,胶州市,中云街道大桓九商贸城九号楼
鑫格琦工贸,10,青岛鑫格琦工贸有限公司,山东省,青岛市,胶州市,中云街道大桓九商城15号楼26号
龙瑞针织服饰,11,青岛龙瑞针织服饰有限公司,山东省,青岛市,黄岛区,铁山街道铁山工业园中九路66号
威蝶乳胶制品,12,青岛威蝶乳胶制品有限公司,山东省,青岛市,黄岛区,铁山街道办事处中九路108号
益兴水泥制品,13,青岛益兴水泥制品有限公司,山东省,青岛市,城阳区,夏庄街道王沙路353号(九中对面)
千世元石油化工,14,青岛千世元石油化工有限公司,山东省,青岛市,黄岛区,长江路街道开发区富春江路1509号信达大厦九楼
梨花服饰工艺品,15,青岛梨花服饰工艺品有限公司,山东省,青岛市,黄岛区,珠海街道办事处台东九路5号
信昌和商贸,16,青岛信昌和商贸有限公司,山东省,青岛市,胶州市,中云街道平成东路大桓九商城2号楼
胶大建筑装饰,17,青岛胶大建筑装饰有限公司,山东省,青岛市,黄岛区,珠海街道办事处台东九路5号
菱达化成,18,青岛菱达化成有限公司,山东省,青岛市,平度市,香店街道办事处同辉一路9号
青信置业,19,青岛青信置业有限公司,山东省,青岛市,即墨区,鳌山卫街道南莱青路9号
保华电子,20,青岛保华电子有限公司,山东省,青岛市,平度市,同和街道办事处高尔夫路9号
电气设备,21,青岛电气设备有限公司,山东省,青岛市,即墨区,北安街道办事处营上路9号
彩立德包装,22,青岛彩立德包装有限公司,山东省,青岛市,即墨区,通济街道孔雀河五路9号
纬度纺织品,23,青岛纬度纺织品有限公司,山东省,青岛市,城阳区,流亭街道流亭工业园雪岳路9号
森华橡胶,24,青岛森华橡胶有限公司,山东省,青岛市,市南区,香港中路街道山东路9号深业中心A座10C
海德立设备,0,青岛海德立餐饮设备有限公司,山东省,青岛市,胶州市,九龙镇衡山路25号
海德立设备南门,1,青岛海德立餐饮设备有限公司(南门),山东省,青岛市,胶州市,[]
油菜花智慧,0,青岛油菜花智慧餐饮管理有限公司,山东省,青岛市,城阳区,黑龙江路397号516室
小康,0,青岛小康餐饮管理有限公司,山东省,青岛市,黄岛区,经济技术开发区长江中路467号汇商国际17层
瑞鑫源蛋糕店,0,瑞鑫源蛋糕店,山东省,青岛市,即墨区,移风店镇七级府前街42-3号
开心客比萨,0,开心客比萨,山东省,青岛市,黄岛区,齐长城路
开心花甲客,1,开心花甲客,山东省,青岛市,平度市,云峡街与苏州路交叉口东150米
开心食客私房菜,2,开心食客私房菜,山东省,青岛市,城阳区,流亭街道赵哥庄社区173号(惠馨特超市旁)
开心食客砂锅恋上小面,3,开心食客砂锅恋上小面,山东省,青岛市,市北区,嘉兴路与遵化路交叉口西北50米
韩极客炸鸡平定路,4,韩极客炸鸡(平定路),山东省,青岛市,市北区,平定路8号
座上客丽达购物中心,5,座上客(丽达购物中心),山东省,青岛市,崂山区,秦岭路18号丽达购物中心B1层
星巴克咖啡佳世客店,6,星巴克咖啡(青岛佳世客店),山东省,青岛市,市南区,香港中路72号永旺东部购物中心1层
华莱士伊春路店,7,华莱士(伊春路店),山东省,青岛市,市北区,南京路285号
中泰,0,青岛中泰餐饮管理有限公司,山东省,青岛市,黄岛区,临港路1718号附近
青康食品,0,青岛青康食品有限公司,山东省,青岛市,城阳区,铁骑山路科瑞盛公司东300米
青康,1,青康餐饮,山东省,青岛市,城阳区,长城路700号海都餐厅二楼
徐本家自助火锅晶岳广场店,0,徐本家自助火锅(晶岳广场店),山东省,青岛市,城阳区,上马街道晶岳广场家家悦购物超市爱食尚美食广场1号网点
山东百徳瑞轨道交通科技,0,山东百徳瑞轨道交通科技有限公司,山东省,青岛市,黄岛区,茂山路992号
山东百世建设集团,1,山东百世建设集团有限公司,山东省,青岛市,市北区,连云港路76号安泰广场15楼1501室
山东百胜智能信息技术,2,山东百胜智能信息技术有限公司,山东省,青岛市,城阳区,文阳路1180号京口工业园
山东百事通达市政工程,3,山东百事通达市政工程有限公司,山东省,青岛市,崂山区,[]
山东百德瑞轨道交通科技东北门,4,山东百德瑞轨道交通科技有限公司(东北门),山东省,青岛市,黄岛区,茂山路980号附近
山东百晟通工商注册代理记账,5,山东百晟通工商公司注册代理记账公司,山东省,青岛市,市北区,连云港路33号
崂山国家级风景名胜区华东酒庄,6,青岛崂山国家级风景名胜区-华东酒庄,山东省,青岛市,崂山区,沙子口镇南龙口社区华东百利酒庄
山东百事通国际旅行社抚顺路营业部,7,山东百事通国际旅行社(青岛抚顺路营业部),山东省,青岛市,市北区,敦化路街道哈尔滨路5号3单元
山东百事通国际旅行社府新大厦营业部,8,山东百事通国际旅行社(府新大厦营业部),山东省,青岛市,市南区,闽江路6号附近
都可万达广场,0,都可(万达广场),山东省,青岛市,李沧区,巨峰路173号万达广场F3层
都可丽达购物中心,1,都可(丽达购物中心),山东省,青岛市,崂山区,秦岭路18号丽达购物中心B1层
都可宝龙城市广场店,2,都可(宝龙城市广场店),山东省,青岛市,胶州市,福州南路97号宝龙城市广场MALL区1层051商铺
都可即墨利群店,3,都可(即墨利群店),山东省,青岛市,即墨区,朝阳路205-225号(鹤山路路口)青岛利群集团(即墨店)西门coco都可
CoCo都可颐高店,4,CoCo都可(颐高店),山东省,青岛市,市北区,辽宁路167号颐高科技广场1层(近泰山路)
CoCo都可万达广场,5,CoCo都可(万达广场),山东省,青岛市,市北区,延吉路116号万达广场F3层337
CoCo都可茶饮青岛大学店,6,CoCo都可茶饮(青岛大学店),山东省,青岛市,崂山区,香港东路18号东都花苑6号楼3号网点
CoCo都可茶饮金狮店,7,CoCo都可茶饮(金狮店),山东省,青岛市,崂山区,香港东路金狮广场4层(肯德基旁)
CoCo都可茶饮崂山利群店,8,CoCo都可茶饮(崂山利群店),山东省,青岛市,崂山区,海尔路83号金鼎广场7楼-11号
CoCo都可茶饮万达茂店,9,CoCo都可茶饮(万达茂店),山东省,青岛市,黄岛区,滨海大道1777号万达茂万达影城2层
CoCo都可茶饮台东和兴店,10,CoCo都可茶饮(台东和兴店),山东省,青岛市,市北区,和兴路31号乙号网点
CoCo都可茶饮城阳城中城店,11,CoCo都可茶饮(城阳城中城店),山东省,青岛市,城阳区,兴阳路702号城中城利群超市1-1
CoCo都可茶饮家佳源店,12,CoCo都可茶饮(家佳源店),山东省,青岛市,城阳区,正阳路122号吕家庄社区(曙光苑)1号楼5号门头房
CoCo都可茶饮辽阳西路店,13,CoCo都可茶饮(辽阳西路店),山东省,青岛市,市北区,辽阳西路新业广场1层
CoCo都可茶饮长江利群店,14,CoCo都可茶饮(长江利群店),山东省,青岛市,黄岛区,香江路78号长江商厦一楼东3号
CoCo都可茶饮永旺黄岛购物中心,15,CoCo都可茶饮(永旺黄岛购物中心),山东省,青岛市,黄岛区,长江中路419号永旺黄岛购物中心F1层
CoCo都可茶饮城阳东方城店,16,CoCo都可茶饮(城阳东方城店),山东省,青岛市,城阳区,黑龙江中路2111号青岛东方城购物中心第1层1138-1139号商铺
CoCo都可茶饮台东三店,17,CoCo都可茶饮(台东三店),山东省,青岛市,市北区,台东三路77号利群商厦F1层
CoCo都可茶饮台东一店,18,CoCo都可茶饮(台东一店),山东省,青岛市,市北区,桑梓路3-3号
CoCo都可茶饮延安二路店,19,CoCo都可茶饮(延安二路店),山东省,青岛市,市北区,延安二路10号都可茶饮(肯德基旁)
CoCo都可茶饮山东路,20,CoCo都可茶饮(山东路),山东省,青岛市,市北区,山东路128号家乐福1层
CoCo都可茶饮中山二店,21,CoCo都可茶饮(中山二店),山东省,青岛市,市南区,中山路33号(七天连锁酒店旁)
CoCo都可茶饮市南家乐福店,22,CoCo都可茶饮(市南家乐福店),山东省,青岛市,市南区,香港中路21号家乐福一楼
CoCo都可茶饮市南银座店,23,CoCo都可茶饮(市南银座店),山东省,青岛市,市南区,香港中路街道香港中路31号银座中心B1层
CoCo都可茶饮万科中心店,24,CoCo都可茶饮(万科中心店),山东省,青岛市,市北区,黑龙江南路6号万科中心B座乙-74
天一润和,0,青岛天一润和餐饮管理有限公司,山东省,青岛市,李沧区,合川路38号
鼎润时尚,1,青岛鼎润时尚餐饮管理服务有限公司,山东省,青岛市,即墨区,营上路东50米
源润盛,2,青岛源润盛餐饮管理有限公司,山东省,青岛市,市北区,台柳路和达中心城B座
肯德基百脑汇店,3,肯德基(百脑汇店),山东省,青岛市,市北区,辽宁路147号百脑汇资讯广场1-2层
易莲花,0,青岛易莲花餐饮有限公司,山东省,青岛市,崂山区,海尔路63号数码科技中心
可好云霄路46店,0,可好(云霄路46店),山东省,青岛市,市南区,云霄路50号一层网点
可好102错埠岭佳木斯二路路口,1,可好102(错埠岭佳木斯二路路口),山东省,青岛市,市北区,佳木斯二路与错埠岭三路交叉口东北50米
吃快餐来可好,2,吃快餐来可好,山东省,青岛市,市北区,北区利津路111号
善苜村文化,0,青岛善苜村餐饮文化管理有限公司,山东省,青岛市,崂山区,海尔路182-6号地恩地财富大厦8层
康滋北门,0,青岛康滋餐饮管理有限公司(北门),山东省,青岛市,黄岛区,江山南路684-5-9号附近
康滋,1,康滋,山东省,青岛市,黄岛区,经济技术开发区保税区曼谷路52号
蓝轩,0,蓝轩餐饮管理有限公司,山东省,威海市,环翠区,怡园街道高区火炬路196号庆威大厦东楼101室
恒泰源集团,0,恒泰源餐饮集团,山东省,青岛市,市南区,江西路117号附近
锦晟源海鲜食坊,1,锦晟源海鲜食坊,山东省,青岛市,黄岛区,镜台山路恒泰花园八号楼网点
西贝莜面村万象城店,0,西贝莜面村(青岛万象城店),山东省,青岛市,市南区,山东路6号甲万象城5层517
西贝莜面村凯德店,1,西贝莜面村(青岛凯德店),山东省,青岛市,市北区,黑龙江南路18号凯德MALL5F层5-12-14
西贝莜面村乐客城店,2,西贝莜面村(青岛乐客城店),山东省,青岛市,李沧区,夏庄路1号乐客城4层
西贝莜面村金狮广场店,3,西贝莜面村(青岛金狮广场店),山东省,青岛市,崂山区,香港东路195号金狮广场4层
西贝莜面村城阳万象汇店,4,西贝莜面村(青岛城阳万象汇店),山东省,青岛市,城阳区,正阳路157号华润万象汇L-429号
康滋北门,0,青岛康滋餐饮管理有限公司(北门),山东省,青岛市,黄岛区,江山南路684-5-9号附近
康滋,1,康滋,山东省,青岛市,黄岛区,经济技术开发区保税区曼谷路52号
美佳美,0,青岛美佳美餐饮有限公司,山东省,青岛市,城阳区,青大工业园北万村荣海二路8号
新麻蒲漳州二路,0,新麻蒲(漳州二路),山东省,青岛市,市南区,漳州二路55号(近麦凯乐)
牛丼东方城店,1,青岛牛丼(东方城店),山东省,青岛市,城阳区,黑龙江路2111号东方城购物广场四楼缤纷真冰场入口处
牛A牛C章鱼水煎肉韩国城店,2,牛A牛C章鱼水煎肉(韩国城店),山东省,青岛市,胶州市,兰州东路562号韩国城西门1号
善苜村秀尔韩国,3,善苜村秀尔·韩国,山东省,青岛市,市南区,香港中路71号秀尔韩国服装城2层
新罗园韩国料理即墨店,4,新罗园韩国料理(即墨店),山东省,青岛市,即墨区,蓝鳌路160号(蓝鳌路与泰山一路交汇处)
老板娘那么美韩国料理合肥路店,5,老板娘那么美韩国料理(合肥路店),山东省,青岛市,市北区,合肥路668号-16(四季景园附近)
绣罗韩国料理香港东路店,6,绣罗韩国料理(香港东路店),山东省,青岛市,崂山区,香港东路77-2号(开泰耳鼻喉医院东侧)
绣罗韩国料理李村店,7,绣罗韩国料理(李村店),山东省,青岛市,李沧区,书院路37号奥克斯广场英煌大厦一层9号
东古来韩国料理凯德mall店,8,东古来韩国料理(凯德mall店),山东省,青岛市,市北区,黑龙江南路18号凯德MALL2F层02-23B-24
阿里郎小黄牛,9,阿里郎小黄牛,山东省,青岛市,即墨区,"鹤山路878号(世贸商都后50米,服装市场东100米,汉庭酒店隔壁)"
青川牛肉汤冷面,10,青川牛肉汤冷面,山东省,青岛市,黄岛区,井冈山路595号6号楼2单元102室
东家韩国传统料理城阳店,11,东家韩国传统料理(城阳店),山东省,青岛市,城阳区,正阳中路鲁邦国际风情街162-3号
永珍牛排饭贵州路店,12,永珍牛排饭(贵州路店),山东省,青岛市,市南区,贵州路16号1号楼2单元101户
韩国炸鸡奇肯玛璐,13,韩国炸鸡·奇肯玛璐,山东省,青岛市,胶州市,兰州东路韩国城小区(华丽广场)3号楼3号网点
郑记全牛面,14,郑记全牛面,山东省,青岛市,黄岛区,临港路与北京路交叉口西50米路南北京路309号
石板诱惑韩国料理黄岛总店,15,石板诱惑韩国料理(黄岛总店),山东省,青岛市,黄岛区,石桥路12号
牛角先生大尧三路,16,牛角先生(大尧三路),山东省,青岛市,市南区,大尧三路1号戊(大尧三路与宁夏路路口)
东家正宗韩国炭烤肉仙霞岭路店,17,东家正宗韩国炭烤肉(仙霞岭路店),山东省,青岛市,崂山区,仙霞岭路16号
牛A牛C铜锅水煎肉,18,牛A牛C铜锅水煎肉,山东省,青岛市,胶州市,兰州东路韩国风情街农业银行南100米(华韩大酒店西门口)
绣罗韩国料理云岭路店,19,绣罗韩国料理(云岭路店),山东省,青岛市,崂山区,梅岭东路40号(三友公寓北门)
老板娘那么美韩国料理,20,老板娘那么美韩国料理,山东省,青岛市,市北区,顺兴路42号
东古来韩国料理城阳店,21,东古来韩国料理(城阳店),山东省,青岛市,城阳区,城阳世纪公园东门
烧得乐韩国料理,22,烧得乐韩国料理,山东省,青岛市,市南区,香港中路6号世贸中心D座三楼(中国银行西侧)
汉江韩国料理仙山东路,23,汉江韩国料理(仙山东路),山东省,青岛市,城阳区,308国道城阳段220号青岛鑫江温德姆酒店
东古来韩国料理东海东路店,24,东古来韩国料理(东海东路店),山东省,青岛市,崂山区,东海东路87中国气象局青岛度假村
亿康源,0,青岛亿康源餐饮管理有限公司,山东省,青岛市,城阳区,西后楼社区
亿康源东北门,1,青岛亿康源餐饮管理有限公司(东北门),山东省,青岛市,城阳区,火炬路南100米
百顺,0,百顺餐饮,山东省,青岛市,即墨区,王村移动营业厅南50米
百顺排骨,1,百顺排骨,山东省,青岛市,即墨区,603省道东50米
小段百顺饭店,2,小段百顺饭店,山东省,青岛市,平度市,李园街道218省道西250米
百顺秘方排骨,3,百顺秘方排骨,山东省,青岛市,胶州市,湖州路与胶州东路交叉口东北100米
百顺秘方排骨,4,百顺秘方排骨,山东省,青岛市,城阳区,双元路20号白沙上苑
百顺美食城,5,百顺美食城,山东省,青岛市,黄岛区,灵山卫街道办事处灵海路3238号2栋商业307号
百顺排骨辽阳路店,6,百顺排骨(辽阳路店),山东省,青岛市,崂山区,海尔路29-31号
百顺排骨达川路,7,百顺排骨(达川路),山东省,青岛市,李沧区,九水东路322-25号网点一楼
百顺秘方排骨仙山东路,8,百顺秘方排骨(仙山东路),山东省,青岛市,城阳区,仙山东路130号(城阳职专西50米)
百顺秘方排骨夏庄店,9,百顺秘方排骨(夏庄店),山东省,青岛市,城阳区,夏庄街道王沙路287号
百顺排骨米饭李村店,10,百顺排骨米饭(李村店),山东省,青岛市,李沧区,书院路125-7号(海立德防水防腐公司隔壁)
宸百顺排骨米饭,11,宸百顺排骨米饭,山东省,青岛市,李沧区,重庆中路903中南世纪城一号商业内街甲43号
宸百顺排骨米饭,12,宸百顺排骨米饭,山东省,青岛市,李沧区,湾头农贸批发市场179号网点
一顺百顺饭店,13,一顺百顺饭店,山东省,青岛市,黄岛区,茂山路与贺兰山路交叉口西北100米
百顺秘方排骨果品市场分店,14,百顺秘方排骨(果品市场分店),山东省,青岛市,市北区,黑龙江中路与黑龙江南路交叉口西100米
百顺排骨米饭沧口店,15,百顺排骨米饭(沧口店),山东省,青岛市,李沧区,四流中路13号甲
百顺排骨米饭黄焖鸡金荷广场店,16,百顺排骨米饭黄焖鸡(金荷广场店),山东省,青岛市,平度市,常州路126号金荷广场1楼
甜甜快餐鑫丰园西北,17,甜甜快餐(鑫丰园西北),山东省,青岛市,李沧区,九水东路352号漫玉湾农贸综合市场餐6号
宸百顺排骨米饭西元庄店,18,宸百顺排骨米饭(西元庄店),山东省,青岛市,即墨区,西元庄新城一路25号商铺(社区卫生服务站旁)
顺百顺快餐店,19,顺百顺快餐店,山东省,青岛市,黄岛区,茂山路与贺兰山路交叉口西150米
陈记百顺排骨米饭,20,陈记百顺排骨米饭,山东省,青岛市,李沧区,宾川路58-5号附近
新百顺秘方排骨,21,新百顺秘方排骨,山东省,青岛市,城阳区,惜福镇傅家埠社区网点(惜福镇小学)
百顺排骨黄焖鸡,22,百顺排骨黄焖鸡,山东省,青岛市,市北区,萍乡路12-4号
百顺排骨黄焖鸡黑龙江中路辅路,23,百顺排骨黄焖鸡(黑龙江中路辅路),山东省,青岛市,李沧区,九水东路322-25号网点一楼
老字号排骨米饭百顺连锁夏庄店,24,老字号排骨米饭百顺连锁夏庄店,山东省,青岛市,城阳区,夏庄街道王沙路290号
中快,0,中快餐饮,山东省,青岛市,崂山区,科大支路东100米
乡米香米,0,乡米香米,山东省,青岛市,黄岛区,前湾港路579号维客山科大购物广场
炸鸡肉夹馍乡米香米餐厅,1,炸鸡肉夹馍(乡米香米餐厅),山东省,青岛市,黄岛区,前港湾路579号山东科技大学乡米香米餐厅内
麻辣烫手抓饼,2,麻辣烫手抓饼,山东省,青岛市,黄岛区,前港湾路579号山东科技大学乡米香米餐厅内
煎饼果子豆腐脑,3,煎饼果子豆腐脑,山东省,青岛市,黄岛区,前港湾路579号山东科技大学乡米香米餐厅内
凉皮南京饼,4,凉皮南京饼,山东省,青岛市,黄岛区,前港湾路579号山东科技大学乡米香米餐厅内
润海一品,0,润海一品,山东省,青岛市,即墨区,坊子街小区南门附近
一品润海泡椒牛蛙,1,一品润海泡椒牛蛙,山东省,青岛市,即墨区,大同街69号甲
船东家,2,船东家,山东省,青岛市,即墨区,泰山一路565号附近
青怡润海鲜馆,3,青怡润海鲜馆,山东省,青岛市,市南区,浙江路16号
宏润海鲜大酒店,4,宏润海鲜大酒店,山东省,青岛市,黄岛区,海泊二路泊里中心卫生院向东
淏润海鲜大酒店,5,淏润海鲜大酒店,山东省,青岛市,即墨区,墨市经济开发区泰山一路502号
鑫林,0,青岛鑫林餐饮有限公司,山东省,青岛市,黄岛区,海滨工业园海滨六路755号
鑫林西门,1,青岛鑫林餐饮有限公司(西门),山东省,青岛市,黄岛区,海滨工业园海滨六路755号
鸿瑞川菜,0,鸿瑞川菜,山东省,青岛市,即墨区,北泉家苑北90米(宝泉街西)(雪达集团对面)
鸿瑞快餐,1,鸿瑞快餐,山东省,青岛市,黄岛区,东丰路与丰台路交叉口西100米
鸿瑞霖海参,2,鸿瑞霖海参,山东省,青岛市,城阳区,蔚蓝群岛附近
保生家面馆,0,保生家面馆,山东省,青岛市,崂山区,新利路169号国际创新园对面
福客尔美食广场,0,福客尔美食广场,山东省,青岛市,黄岛区,前湾港路299号嘉逸豪庭商务酒店隔壁佳爱家超市2楼
清水海集团,0,清水海餐饮集团,山东省,青岛市,市南区,南中山公园青岛市市南区南海路9号汇泉王朝大饭店裙楼二楼
清水快餐,1,清水快餐,山东省,青岛市,市北区,修水路与德安路交叉口西南50米
清水屋武夷山店,2,清水屋(武夷山店),山东省,青岛市,黄岛区,武夷山路370号
清水屋蓝海店,3,清水屋(蓝海店),山东省,青岛市,黄岛区,长江西路66号蓝海大酒店一层
清水海丽晶店,4,清水海(丽晶店),山东省,青岛市,市南区,香港中路110号丽晶大酒店2层(近台湾路)
清水日本料理,5,清水日本料理,山东省,青岛市,市南区,古田路14-2号
青山清水小烤屋,6,青山清水小烤屋,山东省,青岛市,黄岛区,双珠路东方金石对过灵海边防派出所西200米
清水皇廷日本料理,7,清水皇廷日本料理,山东省,青岛市,市南区,古田路14号2号网点
红辣椒清水鱼,8,红辣椒清水鱼,山东省,青岛市,市南区,秀湛路5号6单元103户
清水源火烧店,9,清水源火烧店,山东省,青岛市,城阳区,[]
老尚家清水鱼,10,老尚家清水鱼,山东省,青岛市,市南区,徐州路33号-丙-1号
清水园野馄饨,11,清水园野馄饨,山东省,青岛市,市北区,四流南路60之5-6号
红辣椒唐记清水鱼中山路商圈店,12,红辣椒唐记清水鱼(中山路商圈店),山东省,青岛市,市南区,保定路31号
钏渝坊私房菜馆高邮湖路,13,钏渝坊私房菜馆(高邮湖路),山东省,青岛市,市南区,高邮湖路8号1单元103户
红川椒新湛三路店,14,红川椒(新湛三路店),山东省,青岛市,市南区,新湛三路3号3单元102户
四季渔歌清水湾生态园店,15,四季渔歌(清水湾生态园店),山东省,青岛市,胶州市,胶东街道办事处和平庄
奕高快餐,16,奕高快餐,山东省,青岛市,市北区,河清路32-6号附近
孔家熟食,17,孔家熟食,山东省,青岛市,市北区,宜阳路靠近清水湾花园
味隅兴阳路店,18,味隅(兴阳路店),山东省,青岛市,城阳区,流亭街道兴阳路702号5号楼一层103号
金牛座火锅,19,金牛座火锅,山东省,青岛市,城阳区,华贯路434号(三之三幼儿园对面)
瀚文轩麻辣香锅,20,瀚文轩麻辣香锅,山东省,青岛市,市北区,南丰路25-8号(清水湾花园正门南侧)
重庆德庄火锅万馨风景店,21,重庆德庄火锅(万馨风景店),山东省,青岛市,城阳区,中城路122号德庄火锅万馨风景店
京天下宫廷火锅海王路店,22,京天下宫廷火锅(海王路店),山东省,青岛市,黄岛区,海王路346号(海怡嘉园海王路与烟台路交叉口)
城市农夫港式蒸菜,23,城市农夫港式蒸菜,山东省,青岛市,市北区,辽宁路147号百脑汇资讯广场-1层QDAOX04
